Time(s),Thrust(N)
21.09,20903.59748
21.12,20900.33083
21.15,20897.05313
21.18,20856.1899
21.21,20853.79164
21.24,20851.38219
21.27,20848.33239
21.3,20844.9845
21.33,20841.62548
21.36,20800.85878
21.39,20798.38784
21.42,20795.90571
21.45,20792.65493
21.48,20789.21494
21.51,20785.76404
21.54,20783.07149
21.57,20742.48306
21.6,20739.89227
21.63,20736.43709
21.66,20732.90965
21.69,20729.37137
21.72,20688.76798
21.75,20686.11569
21.78,20683.40031
21.81,20679.79953
21.84,20676.18804
21.87,20672.67128
21.9,20669.93615
21.93,20629.31484
21.96,20626.40277
21.99,20622.72562
22.02,20619.03737
22.05,20615.55438
22.08,20612.74089
22.11,20572.10244
22.14,20568.99655
22.17,20565.23462
22.2,20561.46138
22.23,20558.01192
22.26,20555.13396
22.29,20514.49277
22.32,20511.21514
22.35,20507.40427
22.38,20503.58246
22.41,20500.18015
22.44,20497.21819
22.47,20456.55466
22.5,20453.06515
22.53,20449.14232
22.56,20445.20868
22.59,20441.83494
22.62,20438.81321
22.65,20398.15102
22.68,20394.49649
22.71,20390.52985
22.74,20386.55197
22.77,20383.2203
22.8,20380.11447
22.83,20339.42964
22.86,20335.58365
22.89,20331.54084
22.92,20327.48695
22.95,20324.17682
22.98,20283.46293
23.01,20280.26512
23.04,20276.20633
23.07,20272.06308
23.1,20267.90896
23.13,20264.61733
23.16,20223.87538
23.19,20220.54838
23.22,20216.3536
23.25,20212.148
23.28,20208.02395
23.31,20204.67009
23.34,20163.91185
23.37,20160.39433
23.4,20156.11315
23.43,20151.8209
23.46,20147.72651
23.49,20144.32194
23.52,20103.57407
23.55,20099.89175
23.58,20095.55278
23.61,20091.20253
23.64,20087.14357
23.67,20046.34525
23.7,20042.827
23.73,20038.92867
23.76,20034.49934
23.79,20030.05915
23.82,20026.02976
23.85,19985.23157
23.88,19981.65223
23.91,19977.57062
23.94,19973.05827
23.97,19968.53512
24.0,19964.5289
24.03,19923.70408
24.06,19920.03656
24.09,19915.77516
24.12,19911.20704
24.15,19906.62767
24.18,19865.55496
24.21,19861.82493
24.24,19858.08373
24.27,19853.61871
24.3,19848.94996
24.33,19844.27004
24.36,19803.28954
24.39,19799.48756
24.42,19795.67462
24.45,19791.04538
24.48,19786.32649
24.51,19781.59675
24.54,19740.70633
24.57,19736.82195
24.6,19732.895
24.63,19728.0921
24.66,19723.27823
24.69,19681.60723
24.72,19677.66964
24.75,19673.72118
24.78,19669.61522
24.81,19664.72659
24.84,19622.94559
24.87,19618.24344
24.9,19614.22745
24.93,19610.20033
24.96,19605.91312
24.99,19564.15572
25.02,19559.22769
25.05,19554.58576
25.08,19550.49514
25.11,19546.39335
25.14,19541.90618
25.17,19500.09566
25.2,19495.05311
25.23,19490.42381
25.26,19486.26153
25.29,19482.08835
25.32,19440.70754
25.35,19435.6225
25.38,19430.52647
25.41,19425.93952
25.44,19421.69632
25.47,19417.44223
25.5,19375.92587
25.53,19370.75373
25.56,19365.57058
25.59,19360.99563
25.62,19320.03679
25.65,19315.69222
25.68,19310.64185
25.71,19305.38571
25.74,19300.11848
25.77,19295.56484
25.8,19254.58118
25.83,19250.15033
25.86,19244.91247
25.89,19239.58041
25.92,19234.23738
25.95,19193.2032
25.98,19188.69802
26.01,19184.15501
26.04,19178.73602
26.07,19173.306
26.1,19167.94628
26.13,19126.93208
26.16,19122.35814
26.19,19117.63715
26.22,19112.16133
26.25,19070.27448
26.28,19064.97561
26.31,19060.34645
26.34,19055.70634
26.37,19050.80895
26.4,19045.26598
26.43,19003.37332
26.46,18998.11489
26.49,18993.41631
26.52,18988.70664
26.55,18947.32884
26.58,18941.71861
26.61,18936.09716
26.64,18930.86613
26.67,18926.08274
26.7,18921.28832
26.73,18879.79002
26.76,18874.12047
26.79,18868.43996
26.82,18863.25096
26.85,18822.20254
26.88,18817.34879
26.91,18811.90436
26.94,18806.14202
26.97,18800.36884
27.0,18795.20154
27.03,18754.13371
27.06,18749.19899
27.09,18743.58974
27.12,18737.78124
27.15,18695.86859
27.18,18690.75674
27.21,18685.76755
27.24,18680.7672
27.27,18674.95952
27.3,18669.05616
27.33,18627.11012
27.36,18622.01507
27.39,18616.93728
27.42,18611.82295
27.45,18569.84863
27.48,18563.86398
27.51,18557.9471
27.54,18552.79964
27.57,18547.64112
27.6,18542.33934
27.63,18500.37074
27.66,18494.33051
27.69,18488.46252
27.72,18447.34693
27.75,18442.12926
27.78,18436.65357
27.81,18430.53023
27.84,18424.39592
27.87,18418.5444
27.9,18377.41058
27.93,18372.11299
27.96,18366.455
27.99,18360.27222
28.02,18318.28214
28.05,18312.48762
28.08,18307.1384
28.11,18301.77796
28.14,18295.92945
28.17,18289.64657
28.2,18247.61801
28.23,18241.82748
28.26,18236.37211
28.29,18195.20179
28.32,18189.18289
28.35,18182.86273
28.38,18176.53168
28.41,18170.79061
28.44,18165.27442
28.47,18124.10475
28.5,18117.90029
28.53,18111.49523
28.56,18069.46711
28.59,18063.75709
28.62,18058.16711
28.65,18052.56594
28.68,18046.17285
28.71,18039.68826
28.74,17997.64205
28.77,17991.95197
28.8,17986.2763
28.83,17980.56202
28.86,17938.49847
28.89,17931.94345
28.92,17925.45944
28.95,17919.74432
28.98,17914.01812
29.01,17908.14186
29.04,17866.0641
29.07,17859.43365
29.1,17852.97744
29.13,17811.74629
29.16,17805.9319
29.19,17799.86257
29.22,17793.16639
29.25,17786.45931
29.28,17780.03964
29.31,17738.81607
29.34,17732.94768
29.37,17726.72003
29.4,17684.65412
29.43,17677.91268
29.46,17671.56073
29.49,17665.64496
29.52,17659.71803
29.55,17653.31619
29.58,17611.23697
29.61,17604.42075
29.64,17598.08609
29.67,17556.83731
29.7,17550.82109
29.73,17544.24251
29.76,17537.37069
29.79,17530.4879
29.82,17524.2029
29.85,17482.96649
29.88,17476.90117
29.91,17434.98944
29.94,17428.044
29.97,17421.08755
30.0,17414.80609
30.03,17408.63415
30.06,17402.45104
30.09,17360.40529
30.12,17353.37689
30.15,17346.33736
30.18,17305.03001
30.21,17298.80019
30.24,17292.52564
30.27,17285.43431
30.3,17278.33183
30.33,17271.30252
30.36,17229.99576
30.39,17223.68594
30.42,17217.22462
30.45,17175.08061
30.48,17167.90302
30.51,17160.90464
30.54,17154.53341
30.57,17148.15114
30.6,17141.51713
30.63,17099.38475
30.66,17092.15741
30.69,17050.32642
30.72,17043.90972
30.75,17037.48207
30.78,17030.68732
30.81,17023.38873
30.84,17016.07908
30.87,16974.3272
30.9,16967.81968
30.93,16961.30108
30.96,16919.5332
30.99,16912.18775
31.02,16904.83117
31.05,16897.96273
31.08,16891.40345
31.11,16884.83305
31.14,16842.95296
31.17,16835.52775
31.2,16793.38006
31.23,16786.53679
31.26,16779.89551
31.29,16773.24319
31.32,16765.91516
31.35,16758.40913
31.38,16716.2421
31.41,16709.4245
31.44,16668.0777
31.47,16661.3598
31.5,16653.85519
31.53,16646.27775
31.56,16638.68917
31.59,16631.91333
31.62,16590.56698
31.65,16583.7433
31.68,16576.11069
31.71,16533.92951
31.74,16526.37603
31.77,16519.50185
31.8,16512.61654
31.83,16505.56892
31.86,16497.82134
31.89,16455.58647
31.92,16448.0344
31.95,16406.65977
31.98,16399.74008
32.01,16392.55509
32.04,16384.78521
32.07,16377.00425
32.1,16369.51288
32.13,16328.12637
32.16,16321.13344
32.19,16279.38764
32.22,16271.53574
32.25,16263.6729
32.28,16256.21021
32.31,16249.15134
32.34,16242.08143
32.37,16200.2275
32.4,16192.32569
32.43,16150.12067
32.46,16142.71102
32.49,16135.59266
32.52,16128.46312
32.55,16120.76956
32.58,16112.81511
32.61,16070.61891
32.64,16063.23029
32.67,16021.81013
32.7,16014.59949
32.73,16006.71179
32.76,15998.66308
32.79,15990.60336
32.82,15983.25339
32.85,15941.84174
32.88,15934.57823
32.91,15892.40076
32.94,15884.3049
32.97,15876.20393
33.0,15868.86816
33.03,15861.52147
33.06,15820.02752
33.09,15811.84531
33.12,15769.59517
33.15,15761.51127
33.18,15754.1211
33.21,15746.71988
33.24,15739.14709
33.27,15730.91806
33.3,15688.68237
33.33,15680.64408
33.36,15639.18775
33.39,15631.70559
33.42,15623.96044
33.45,15615.68528
33.48,15607.39907
33.51,15599.40797
33.54,15557.96916
33.57,15550.4432
33.6,15508.65042
33.63,15500.31535
33.66,15491.96937
33.69,15484.01322
33.72,15476.41806
33.75,15434.96984
33.78,15426.90961
33.81,15384.69231
33.84,15376.29584
33.87,15368.37771
33.9,15360.71583
33.93,15353.04279
33.96,15344.78413
33.99,15302.52051
34.02,15294.01617
34.05,15252.38109
34.08,15244.66503
34.11,15236.93793
34.14,15228.52611
34.17,15219.97386
34.2,15177.72193
34.23,15169.87053
34.26,15128.41612
34.29,15120.62929
34.32,15112.05137
34.35,15103.43602
34.38,15094.83315
34.41,15086.94067
34.44,15045.43041
34.47,15003.8517
34.5,14995.13493
34.53,14986.40717
34.56,14977.79742
34.59,14969.85554
34.62,14961.90261
34.65,14920.23109
34.68,14911.49812
34.71,14869.23909
34.74,14860.71089
34.77,14852.70655
34.8,14844.691
34.83,14836.38081
34.86,14794.07505
34.89,14785.23218
34.92,14743.27275
34.95,14735.22808
34.98,14727.1724
35.01,14718.72111
35.04,14709.8443
35.07,14700.95648
35.1,14659.0955
35.13,14617.59326
35.16,14609.46214
35.19,14600.84767
35.22,14591.92048
35.25,14582.98221
35.28,14574.55277
35.31,14533.05287
35.34,14491.56216
35.37,14482.77665
35.4,14473.77016
35.43,14464.75254
35.46,14456.36878
35.49,14448.13175
35.52,14406.64477
35.55,14364.49066
35.58,14355.46134
35.61,14346.421
35.64,14338.06824
35.67,14329.75498
35.7,14321.43071
35.73,14279.15485
35.76,14236.88587
35.79,14408.09372
35.82,14219.45411
35.85,14363.64975
35.88,14202.59921
35.91,14316.74656
35.94,14151.12693
35.97,14092.95354
36.0,14070.56929
36.03,14048.16728
36.06,14025.23593
36.09,14000.81564
36.12,13976.3797
36.15,13865.31593
36.18,13755.80308
36.21,13733.45644
36.24,13710.3023
36.27,13685.80485
36.3,13661.29203
36.33,13637.59875
36.36,13528.30083
36.39,13419.19309
36.42,13395.84154
36.45,13371.47296
36.48,13347.08952
36.51,13323.65064
36.54,13301.11879
36.57,13106.25313
36.6,13082.75679
36.63,13058.3527
36.66,13033.93437
36.69,13010.6251
36.72,12988.12927
36.75,12879.88657
36.78,12770.67384
36.81,12746.34913
36.84,12722.01035
36.87,12698.83378
36.9,12676.35998
36.93,12653.86986
36.96,12544.93422
36.99,12435.50058
37.02,12411.20424
37.05,12388.10729
37.08,12365.65661
37.11,12343.19011
37.14,12319.40843
37.17,12210.22489
37.2,12101.23743
37.23,12078.14079
37.26,12055.70214
37.29,12033.24837
37.32,12009.55786
37.35,11985.18935
37.38,11792.53112
37.41,11769.44155
37.44,11746.99129
37.47,11724.52616
37.5,11700.86716
37.53,11676.47922
37.56,11568.36039
37.59,11461.58616
37.62,11439.2132
37.65,11416.82535
37.68,11393.37169
37.71,11369.1293
37.74,11344.87427
37.77,11238.35973
37.8,11132.83573
37.83,11110.44623
37.86,11087.11473
37.89,11062.87257
37.92,11038.61819
37.95,11015.2039
37.98,10827.42359
38.01,10805.09497
38.04,10781.96402
38.07,10757.72898
38.1,10733.48235
38.13,10709.88734
38.16,10605.17644
38.19,10500.6513
38.22,10477.73626
38.25,10453.5448
38.28,10429.34202
38.31,10405.5717
38.34,10383.15962
38.37,10197.32026
38.4,10174.70283
38.43,10150.58884
38.46,10126.46367
38.49,10102.50189
38.52,10080.08918
38.55,9976.36692
38.58,9872.79078
38.61,9848.6827
38.64,9824.5635
38.67,9800.43358
38.7,9777.91264
38.73,9755.49308
38.76,9571.54131
38.79,9547.74644
38.82,9523.66537
38.85,9499.57402
38.88,9476.77423
38.91,9454.40797
38.94,9432.02933
38.97,9247.94764
39.0,9223.88716
39.03,9199.81668
39.06,9176.63215
39.09,9154.21792
39.12,9131.79172
39.15,8949.01091
39.18,8925.03825
39.21,8901.05569
39.24,8877.57376
39.27,8855.27746
39.3,8832.96913
39.33,8730.93719
39.36,8627.69561
39.39,8603.8066
39.42,8579.97504
39.45,8557.70686
39.48,8535.42705
39.51,8513.13594
39.54,8331.54406
39.57,8307.70544
39.6,8283.8576
39.63,8261.26779
39.66,8239.06923
39.69,8216.85977
39.72,8036.70038
39.75,8012.9181
39.78,7989.12688
39.81,7966.08177
39.84,7943.94042
39.87,7921.78835
39.9,7899.13862
39.93,7719.35372
39.96,7695.64196
39.99,7672.11433
40.02,7649.95548
40.05,7627.78621
40.08,7605.60626
40.11,7426.77191
40.14,7403.05946
40.17,7379.33863
40.2,7356.84348
40.23,7334.71106
40.26,7312.56835
40.29,7135.26647
40.32,7111.63231
40.35,7087.99002
40.38,7064.94803
40.41,7042.85729
40.44,7020.75671
40.47,6998.35259
40.5,6821.42187
40.53,6797.88201
40.56,6774.33422
40.59,6752.25719
40.62,6730.19524
40.65,6708.12382
40.68,6532.41318
40.71,6508.87834
40.74,6485.33585
40.77,6462.64988
40.8,6440.65216
40.83,6418.64506
40.86,6244.5827
40.89,6221.20628
40.92,6197.82227
40.95,6174.57348
40.98,6152.64129
41.01,6130.69994
41.04,6033.35747
41.07,5934.8731
41.1,5911.50731
41.13,5888.13464
41.16,5865.69575
41.19,5843.8366
41.22,5821.96868
41.25,5649.7666
41.28,5626.51972
41.31,5603.26604
41.34,5580.16002
