Time(s),Thrust(N),,Data Max,94765.72156,Time Normalized 0-1,Thrust Normalized 0-1,,,
13.02,37620.23588,,,,0.261445783,0.396981475,,,
13.05,37677.1609,,,,0.262048193,0.397582167,,,
13.08,37734.06877,,,,0.262650602,0.398182678,,,
13.11,37790.95948,,,,0.263253012,0.398783008,,,
13.14,37847.83303,,,,0.263855422,0.399383157,,,
13.17,37904.68942,,,,0.264457831,0.399983125,,,
13.2,37961.52867,,,,0.265060241,0.400582912,,,
13.23,38018.35076,,,,0.265662651,0.401182518,,,
13.26,38075.1557,,,,0.26626506,0.401781943,,,
13.29,38131.9435,,,,0.26686747,0.402381187,,,
13.32,38188.71414,,,,0.26746988,0.40298025,,,
13.35,38245.46764,,,,0.268072289,0.403579132,,,
13.38,38302.20399,,,,0.268674699,0.404177833,,,
13.41,38358.9232,,,,0.269277108,0.404776353,,,
13.44,38415.62527,,,,0.269879518,0.405374693,,,
13.47,38472.3102,,,,0.270481928,0.405972851,,,
13.5,38528.97798,,,,0.271084337,0.406570829,,,
13.53,38585.62863,,,,0.271686747,0.407168626,,,
13.56,38642.26214,,,,0.272289157,0.407766242,,,
13.59,38698.87851,,,,0.272891566,0.408363677,,,
13.62,38755.47775,,,,0.273493976,0.408960931,,,
13.65,38812.05985,,,,0.274096386,0.409558005,,,
13.68,38868.62482,,,,0.274698795,0.410154898,,,
13.71,38925.17266,,,,0.275301205,0.41075161,,,
13.74,38981.70337,,,,0.275903614,0.411348141,,,
13.77,39038.21696,,,,0.276506024,0.411944491,,,
13.8,39094.71341,,,,0.277108434,0.412540661,,,
13.83,39151.19274,,,,0.277710843,0.41313665,,,
13.86,39207.65494,,,,0.278313253,0.413732458,,,
13.89,39264.10002,,,,0.278915663,0.414328086,,,
13.92,39320.52798,,,,0.279518072,0.414923533,,,
13.95,39376.93882,,,,0.280120482,0.415518799,,,
13.98,39433.33254,,,,0.280722892,0.416113885,,,
14.01,39489.70914,,,,0.281325301,0.41670879,,,
14.04,39546.06862,,,,0.281927711,0.417303514,,,
14.07,39602.41098,,,,0.28253012,0.417898058,,,
14.1,39658.73624,,,,0.28313253,0.418492421,,,
14.13,39715.04437,,,,0.28373494,0.419086603,,,
14.16,39771.3354,,,,0.284337349,0.419680605,,,
14.19,39827.60931,,,,0.284939759,0.420274427,,,
14.22,39883.86612,,,,0.285542169,0.420868068,,,
14.25,39940.10581,,,,0.286144578,0.421461528,,,
14.28,39996.3284,,,,0.286746988,0.422054808,,,
14.31,40052.53389,,,,0.287349398,0.422647907,,,
14.34,40108.72226,,,,0.287951807,0.423240826,,,
14.37,40164.89354,,,,0.288554217,0.423833564,,,
14.4,40221.04771,,,,0.289156627,0.424426122,,,
14.43,40277.18478,,,,0.289759036,0.425018499,,,
14.46,40333.30475,,,,0.290361446,0.425610696,,,
14.49,40389.40762,,,,0.290963855,0.426202713,,,
14.52,40445.4934,,,,0.291566265,0.426794549,,,
14.55,40501.56208,,,,0.292168675,0.427386205,,,
14.58,40557.61366,,,,0.292771084,0.42797768,,,
14.61,40613.64815,,,,0.293373494,0.428568975,,,
14.64,40669.66555,,,,0.293975904,0.42916009,,,
14.67,40725.66585,,,,0.294578313,0.429751024,,,
14.7,40781.64907,,,,0.295180723,0.430341778,,,
