Time(s),Thrust(N)
23.16,43110.27311
23.19,43172.53119
23.22,43234.75183
23.25,43297.01612
23.28,43359.32448
23.31,43421.6668
23.34,43484.02885
23.37,43546.43368
23.4,43608.88339
23.43,43671.37868
23.46,43733.91877
23.49,43796.50281
23.52,43859.13102
23.55,43921.77959
23.58,43984.46362
23.61,44047.19183
23.64,44109.96458
23.67,44172.75301
23.7,44235.58561
23.73,44298.46211
23.76,44361.37522
23.79,44424.30989
23.82,44487.28866
23.85,44550.31141
23.88,44613.356
23.91,44676.42196
23.94,44739.53112
23.97,44802.68381
24.0,44865.84527
24.03,44929.03798
24.06,44992.27392
24.09,45055.55337
24.12,45118.87713
24.15,45182.24397
24.18,45245.65429
24.21,45309.10626
24.24,45372.5957
24.27,45436.1287
24.3,45499.70474
24.33,45563.28598
24.36,45626.87716
24.39,45690.5123
24.42,45754.19109
24.45,45817.87438
24.48,45881.59289
24.51,45945.3548
24.54,46009.16433
24.57,46073.03954
24.6,46136.95834
24.63,46200.92136
24.66,46264.89767
24.69,46328.87734
24.72,46392.90034
24.75,46456.96687
24.78,46521.07051
24.81,46585.21612
24.84,46649.4053
24.87,46713.63577
24.9,46777.87686
24.93,46842.16132
24.96,46906.48832
24.99,46970.87421
25.02,47035.33273
25.05,47099.83395
25.08,47164.3784
25.11,47228.93914
25.14,47293.52937
25.17,47358.16217
25.2,47422.83861
25.23,47487.44714
25.26,47552.09818
25.29,47616.79229
25.32,47681.55146
25.35,47746.3947
25.38,47811.28125
25.41,47876.2112
25.44,47941.15103
25.47,48006.11763
25.5,48071.12761
25.53,48136.17984
25.56,48201.22098
25.59,48266.30527
25.62,48331.43255
25.65,48396.59974
25.68,48461.80647
25.71,48527.05633
25.74,48592.34894
25.77,48657.65484
25.8,48722.9937
25.83,48788.37474
25.86,48853.79606
25.89,48919.23774
25.92,48984.72237
25.95,49050.24931
25.98,49115.79062
26.01,49181.34257
26.04,49246.93625
26.07,49312.57245
26.1,49378.25669
26.13,49443.98403
26.16,49509.75428
26.19,49575.55607
26.22,49641.36266
26.25,49707.21108
26.28,49773.10246
26.31,49839.01617
26.34,49904.95988
26.37,49970.94612
26.4,50036.97507
26.43,50103.03962
26.46,50169.14679
26.49,50235.29663
26.52,50301.45617
26.55,50367.61212
26.58,50433.81069
26.61,50500.05133
26.64,50566.28332
26.67,50632.54592
26.7,50698.85048
