Time(s),Thrust(N)
24.72,34130.42674
24.75,34136.37241
24.78,34063.41612
24.81,34040.87487
24.84,34019.24671
24.87,33997.62697
24.9,33976.01574
24.93,33957.60915
24.96,33963.80098
24.99,33969.98268
25.02,33970.23052
25.05,33947.51792
25.08,33925.89676
25.11,33988.45153
25.14,33966.78658
25.17,33874.88656
25.2,33881.22448
25.23,33887.53262
25.26,33876.75797
25.29,33853.98017
25.32,33832.25719
25.35,33810.66045
25.38,33789.07224
25.41,33767.49245
25.44,33714.34535
25.47,33720.78649
25.5,33726.33381
25.53,33676.83445
25.56,33654.98202
25.59,33633.46102
25.62,33611.94847
25.65,33590.44433
25.68,33547.53005
25.71,33553.91287
25.74,33559.83894
25.77,33500.29592
25.8,33478.29752
25.83,33456.85121
25.86,33435.41326
25.89,33413.98373
25.92,33380.77533
25.95,33387.1484
25.98,33393.30783
26.01,33324.36601
26.04,33302.20701
26.07,33280.83342
26.1,33342.5006
26.13,33321.08409
26.16,33299.41496
26.19,33303.37971
26.22,33309.67182
26.25,33315.87497
26.28,33292.16546
26.31,33270.74021
26.34,33249.32329
26.37,33227.91491
26.4,33206.50131
26.43,33136.39849
26.46,33142.80724
26.49,33148.86318
26.52,33116.34761
26.55,33094.87219
26.58,33073.51961
26.61,33052.17555
26.64,33030.83985
26.67,32969.39778
26.7,32975.93069
26.73,32982.0361
26.76,32941.23758
26.79,32919.56794
26.82,32898.28606
26.85,32877.01268
26.88,32855.74758
26.91,32833.86107
26.94,32809.10357
26.97,32815.26228
27.0,32821.36775
27.03,32744.81841
27.06,32723.60313
27.09,32702.39631
27.12,32681.19774
27.15,32659.66663
27.18,32642.21436
27.21,32648.47828
27.24,32716.78331
27.27,32652.30242
27.3,32631.09169
27.33,32691.58409
27.36,32670.3331
27.39,32649.04767
27.42,32626.67994
27.45,32563.22241
27.48,32569.58649
27.51,32559.64796
27.54,32538.35744
27.57,32517.18274
27.6,32496.01635
27.63,32474.85842
27.66,32452.83373
27.69,32396.26259
27.72,32402.75285
27.75,32408.70049
27.78,32364.52029
27.81,32343.42368
27.84,32322.33537
27.87,32301.25548
27.9,32279.62831
27.93,32229.3987
27.96,32235.9995
27.99,32242.06872
28.02,32191.30265
28.05,32170.27704
28.08,32149.25972
28.11,32128.2508
28.14,32107.02846
28.17,32084.90731
28.2,32069.21601
28.23,32075.4423
28.26,32018.65421
28.29,31997.69449
28.32,31976.74305
28.35,31955.79996
28.38,31934.86504
28.41,31912.93743
28.44,31902.45274
28.47,31948.74545
28.5,31983.48489
28.53,31905.92501
28.56,31965.32157
28.59,31944.33172
28.62,31923.35012
28.65,31901.7321
28.68,31815.86741
28.71,31822.30569
28.74,31828.73396
28.77,31813.9154
28.8,31792.97427
28.83,31772.04148
28.86,31751.11694
28.89,31729.92241
28.92,31707.89839
28.95,31655.34601
28.98,31661.87934
29.01,31667.88468
29.04,31621.11305
29.07,31600.25402
29.1,31579.40324
29.13,31558.56081
29.16,31536.7023
29.19,31488.41179
29.22,31495.0125
29.25,31501.11074
29.28,31449.79822
29.31,31429.00555
29.34,31408.2211
29.37,31387.44496
29.4,31366.05127
29.43,31344.17693
29.46,31328.14276
29.49,31334.39419
29.52,31279.03389
29.55,31258.30725
29.58,31237.58881
29.61,31216.87864
29.64,31195.95849
29.67,31174.15336
29.7,31161.28837
29.73,31167.65718
29.76,31174.02583
29.79,31088.1452
29.82,31146.42844
29.85,31125.74329
29.88,31105.0663
29.91,31162.34889
29.94,31073.30851
29.97,31079.77602
30.0,31086.23362
30.03,31075.80323
30.06,31055.12091
30.09,31034.44685
30.12,31013.78097
30.15,30992.63857
30.18,30970.88014
30.21,30912.87396
30.24,30919.44136
30.27,30925.77428
30.3,30885.32666
30.33,30864.72622
30.36,30844.13393
30.39,30823.50397
30.42,30801.82324
30.45,30746.02983
30.48,30752.71326
30.51,30758.95084
30.54,30716.1247
30.57,30695.5918
30.6,30675.06704
30.63,30654.55045
30.66,30633.34554
30.69,30611.74378
30.72,30586.00559
30.75,30592.35921
30.78,30547.459
30.81,30526.98949
30.84,30506.52811
30.87,30486.07488
30.9,30465.40062
30.93,30443.86467
30.96,30419.28131
30.99,30425.72963
31.02,30432.11491
31.05,30358.88146
31.08,30338.47471
31.11,30318.07608
31.14,30297.68558
31.17,30276.4677
31.2,30252.50681
31.23,30259.05296
31.26,30318.99004
31.29,30268.60533
31.32,30248.22025
31.35,30305.15713
31.38,30284.73595
31.41,30263.96947
31.44,30242.47397
31.47,30169.58941
31.5,30176.17087
31.53,30182.72966
31.56,30157.79634
31.59,30137.43739
31.62,30117.08656
31.65,30096.74383
31.68,30075.46285
31.71,30002.73936
31.74,30009.42654
31.77,30016.00691
31.8,29990.56502
31.83,29970.27147
31.86,29949.98601
31.89,29929.70864
31.92,29909.00761
31.95,29887.66619
31.98,29842.69797
32.01,29849.40294
32.04,29855.84255
32.07,29803.64038
32.1,29783.41915
32.13,29763.20597
32.16,29743.00087
32.19,29721.81866
32.22,29675.9707
32.25,29682.79879
32.28,29689.18706
32.31,29637.54528
32.34,29617.39564
32.37,29597.25404
32.4,29577.12048
32.43,29556.54652
32.46,29535.35787
32.49,29516.23993
32.52,29522.73879
32.55,29529.40254
32.58,29451.92413
32.61,29431.84528
32.64,29411.77447
32.67,29391.71165
32.7,29370.68846
32.73,29349.67874
32.76,29356.27455
32.79,29362.86064
32.82,29286.96592
32.85,29266.95177
32.88,29322.59003
32.91,29302.5411
32.94,29282.09194
32.97,29336.58137
33.0,29265.33479
33.03,29272.00165
33.06,29273.30908
33.09,29253.25612
33.12,29233.21123
33.15,29213.17434
33.18,29193.14547
33.21,29172.21579
33.24,29098.60247
33.27,29105.36472
33.3,29112.05279
33.33,29088.58257
33.36,29068.60647
33.39,29048.63837
33.42,29028.67825
33.45,29008.40126
33.48,28987.39343
33.51,28938.75239
33.54,28945.60475
33.57,28924.46193
33.6,28904.5573
33.63,28884.66066
33.66,28864.77196
33.69,28844.89124
33.72,28824.22561
33.75,28772.17544
33.78,28779.1339
33.81,28785.64728
33.84,28741.06811
33.87,28721.23929
33.9,28701.41835
33.93,28681.60537
33.96,28661.619
33.99,28640.7669
34.02,28612.6864
